ModbusData,ModbusFunctionCode,UMASFunctionCode,UMASPayload
00:10:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00,0x90,0x0000,0x0000000000000000000000000000000000000000
00:fe:14:30:87:07:00:00:00:00:01:00:06:01:01:00:07:00:00:00:ff:ff:00:00:11:54:4d:32:32:31:43:45:31:36:52:20:20:00:00:00:01:64:ff:01:c3:00,0x90,0x0100,0x0000FFFF000011544D323231434531365220200000000164FF01C300
00:fe:14:30:87:07:00:00:00:00:01:00:06:01:01:00:07:00:00:00:ff:ff:00:00:11:54:4d:32:32:31:43:45:31:36:52:20:20:00:00:00:01:64:ff:01:c3:00,0x90,0x0100,0x0000FFFF000011544D323231434531365220200000000164FF01C300
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:24:0a:02:01:1e:00:01:00:02:01:46:00:01:00:02:01:3a:00:01:00:02:01:07:00:01:00:02:00:0e:00:01:00:02:01:76:00:01:00:02:01:78:00:01:00:02:01:80:00:01:00:02:01:81:00:01:00:02:01:00:00:01:00,0x90,0x0002,0x00010002010700010002000E000100020176000100020178000100020180000100020181000100020100000100
00:fe:0a:00:00:00:00:00:00:00:00:00:00:00:00:00:00:82:d0:00:00:00:00:00:ff:df:00:00:02:00:00:00:80:80:00:00:80:80:00:00:00:00,0x90,0x0000,0xD00000000000FFDF00000200000080800000808000000000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:14:30:87:07:00:00:00:00:01:00:06:01:01:00:07:00:00:00:ff:ff:00:00:11:54:4d:32:32:31:43:45:31:36:52:20:20:00:00:00:00:00:ff:01:c3:00,0x90,0x0100,0x0000FFFF000011544D323231434531365220200000000000FF01C300
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:14:00:00:00:00:02:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:01:00:00:00:21:4e:65:77:20:70:72:6f:6a:65:63:74:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:00:09:00:00:ae:00:00:00:00:00:00,0x90,0x0000,0x000000000000000000000000000001000000214E65772070726F6A65637400000000000000000000000000000000000000000000090000AE000000000000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
00:fe:02:0a:80:03:93:54:3b:f0:93:54:3b:f0:10:b2:ff:ff:03:03:00:14:00:00,0x90,0x10B2,0x030300140000
